SMILES;cpd;ChEBI;compoundname;value_NR_AR;label_NR_AR;value_NR_AR_LBD;label_NR_AR_LBD;value_NR_AhR;label_NR_AhR;value_NR_Aromatase;label_NR_Aromatase;value_NR_ER;label_NR_ER;value_NR_ER_LBD;label_NR_ER_LBD;value_NR_PPAR_gamma;label_NR_PPAR_gamma;value_NR_GR;label_NR_GR;value_NR_TR;label_NR_TR;value_SR_ARE;label_SR_ARE;value_SR_ATAD5;label_SR_ATAD5;value_SR_HSE;label_SR_HSE;value_SR_MMP;label_SR_MMP;value_SR_p53;label_SR_p53;value_Gen_AMES_Mutagenesis;label_Gen_AMES_Mutagenesis;value_Gen_Carcinogenesis;label_Gen_Carcinogenesis;value_Gen_Micronucleus;label_Gen_Micronucleus;value_Env_Fathead_Minnow;label_Env_Fathead_Minnow;value_Env_T_Pyriformis;label_Env_T_Pyriformis;value_Env_Honey_Bee;label_Env_Honey_Bee;value_Env_Biodegradation;label_Env_Biodegradation;value_Env_Crustacean;label_Env_Crustacean;value_Env_Avian;label_Env_Avian;value_Org_Skin_Sensitisation;label_Org_Skin_Sensitisation;value_Org_hERG_I_Inhibitor;label_Org_hERG_I_Inhibitor;value_Org_hERG_II_Inhibitor;label_Org_hERG_II_Inhibitor;value_Org_Liver_Injury_I;label_Org_Liver_Injury_I;value_Org_Liver_Injury_II;label_Org_Liver_Injury_II;value_Org_Eye_Irritation;label_Org_Eye_Irritation;value_Org_Eye_Corrosion;label_Org_Eye_Corrosion;value_Org_Respiratory_Disease;label_Org_Respiratory_Disease
[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1;C06956;4551;Digoxin;0.38;Low Safety;1;High Toxicity;0;High Safety;0.96;High Toxicity;0.37;Low Safety;0.02;High Safety;0.01;High Safety;0.41;Low Safety;0;High Safety;0.25;Medium Safety;0.02;High Safety;0;High Safety;0.83;Medium Toxicity;0.15;High Safety;0.1;High Safety;0.15;High Safety;0.5;Low Toxicity;0.88;High Toxicity;0.81;Medium Toxicity;0.55;Low Toxicity;0.1;High Safety;0.56;Low Toxicity;0.01;High Safety;0.41;Low Safety;0.01;High Safety;1;High Toxicity;0.02;High Safety;0.79;Medium Toxicity;0.01;High Safety;0;High Safety;0.87;High Toxicity
[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O;C06681;27504;Mitomycin;0.02;High Safety;0;High Safety;0;High Safety;0.03;High Safety;0.08;High Safety;0;High Safety;0.01;High Safety;0.09;High Safety;0.46;Low Safety;0.18;Medium Safety;0.02;High Safety;0.03;High Safety;0;High Safety;0.16;High Safety;1;High Toxicity;0.05;High Safety;0.51;Low Toxicity;0.48;Low Safety;0.52;Low Toxicity;0.4;Low Safety;0.01;High Safety;0.11;High Safety;0.01;High Safety;0.35;Low Safety;0.03;High Safety;0.19;Medium Safety;0.54;Low Toxicity;0.74;Medium Toxicity;0;High Safety;0;High Safety;0.99;High Toxicity
[H][C@]12COC(=O)[C@]1([H])[C@H](c1cc(OC)c(O)c(OC)c1)c1cc3OCOc3cc1[C@H]2O[C@@H]1O[C@@H]2CO[C@@H](C)O[C@H]2[C@H](O)[C@H]1O;C01576;4911;Etoposide;0;High Safety;0.09;High Safety;0.09;High Safety;0;High Safety;0.14;High Safety;0.02;High Safety;0.02;High Safety;0.61;Low Toxicity;0.58;Low Toxicity;0.2;Medium Safety;0.14;High Safety;1;High Toxicity;0.05;High Safety;0.59;Low Toxicity;0;High Safety;0.1;High Safety;0.51;Low Toxicity;0.73;Medium Toxicity;0.91;High Toxicity;0.68;Medium Toxicity;0.06;High Safety;0.39;Low Safety;0;High Safety;0.23;Medium Safety;0.06;High Safety;0.01;High Safety;0.53;Low Toxicity;0.1;High Safety;0.01;High Safety;0;High Safety;0.85;High Toxicity
[H][C@]12O[C@@H](SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)[C@H](O)[C@@]1([H])c1c(O2)cc(OC)c2c3CCC(=O)c3c(=O)oc12;C11278;2505;Aflatoxin B1exo-8.9-epoxide-GSH;0.04;High Safety;0.02;High Safety;0.02;High Safety;0.17;Medium Safety;0.11;High Safety;0.01;High Safety;0;High Safety;0.28;Medium Safety;0.09;High Safety;0.18;Medium Safety;0.04;High Safety;0.01;High Safety;0.08;High Safety;0.01;High Safety;0.39;Low Safety;0.08;High Safety;0.54;Low Toxicity;0.58;Low Toxicity;0.58;Low Toxicity;0.24;Medium Safety;0;High Safety;0.22;Medium Safety;0;High Safety;0.3;Medium Safety;0.11;High Safety;0.24;Medium Safety;0.76;Medium Toxicity;0.33;Medium Safety;0;High Safety;0;High Safety;0.91;High Toxicity
[H][C@]12OC=C[C@@]1([H])c1c(O2)cc(OC)c2c1oc1cccc(O)c1c2=O;C00961;18227;Sterigmatocystin;0.03;High Safety;0.02;High Safety;0.62;Low Toxicity;0.04;High Safety;0.16;High Safety;0.01;High Safety;0.02;High Safety;0.27;Medium Safety;0.29;Medium Safety;0.4;Low Safety;0.09;High Safety;0.03;High Safety;0.48;Low Safety;0.28;Medium Safety;1;High Toxicity;0.1;High Safety;0.51;Low Toxicity;0.98;High Toxicity;0.99;High Toxicity;0.03;High Safety;0.05;High Safety;0.59;Low Toxicity;0;High Safety;0.38;Low Safety;0.21;Medium Safety;0.28;Medium Safety;0.81;Medium Toxicity;0.13;High Safety;0.07;High Safety;0;High Safety;0.63;Low Toxicity
[H][C@]12OC=C[C@@]1([H])c1c(O2)cc(OC)c2c3CCC(=O)c3c(=O)oc12;C06800;2504;Aflatoxin B1;0.03;High Safety;0.01;High Safety;0.01;High Safety;0.08;High Safety;0.08;High Safety;0.03;High Safety;0.01;High Safety;0.12;High Safety;0.06;High Safety;0.34;Low Safety;0.05;High Safety;0.01;High Safety;0.09;High Safety;0.05;High Safety;1;High Toxicity;0.1;High Safety;0.5;Low Toxicity;0.87;High Toxicity;0.93;High Toxicity;0.68;Medium Toxicity;0.06;High Safety;0.51;Low Toxicity;0.01;High Safety;0.42;Low Safety;0.02;High Safety;0.22;Medium Safety;0.93;High Toxicity;0.23;Medium Safety;0.02;High Safety;0.03;High Safety;0.57;Low Toxicity
[H][C@]12OCC[C@@]1([H])c1c(O2)cc(OC)c2c3CCC(=O)c3c(=O)oc12;C16753;48209;Aflatoxin B2;0.02;High Safety;0.01;High Safety;0.02;High Safety;0.09;High Safety;0.1;High Safety;0.01;High Safety;0.01;High Safety;0.09;High Safety;0.06;High Safety;0.31;Medium Safety;0.03;High Safety;0;High Safety;0.03;High Safety;0.04;High Safety;1;High Toxicity;0.1;High Safety;0.5;Low Toxicity;0.88;High Toxicity;0.93;High Toxicity;0.68;Medium Toxicity;0.01;High Safety;0.49;Low Safety;0.01;High Safety;0.42;Low Safety;0.03;High Safety;0.23;Medium Safety;0.69;Medium Toxicity;0.24;Medium Safety;0.02;High Safety;0.03;High Safety;0.63;Low Toxicity
[H]C([H])([H])[H];C01438;16183;Methane;0.05;High Safety;0.13;High Safety;0;High Safety;0;High Safety;0.12;High Safety;0.02;High Safety;0.01;High Safety;0;High Safety;0.13;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0.03;High Safety;0.15;High Safety;0.5;Low Toxicity;0.11;High Safety;0.41;Low Safety;1;High Toxicity;0.7;Medium Toxicity;0.53;Low Toxicity;0.01;High Safety;0.46;Low Safety;0.04;High Safety;0.29;Medium Safety;0.01;High Safety;0.62;Low Toxicity;0.96;High Toxicity;0.49;Low Safety;0.07;High Safety
[H]C([H])([H])Br;C18447;39275;Methyl bromide;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.06;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.02;High Safety;0.01;High Safety;0;High Safety;0.01;High Safety;0.03;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.33;Medium Safety;0.55;Low Toxicity;0.88;High Toxicity;0.02;High Safety;1;High Toxicity;0.01;High Safety;0.24;Medium Safety;0.04;High Safety;0.35;Low Safety;0.01;High Safety;0.37;Low Safety;1;High Toxicity;0.85;High Toxicity;0;High Safety
[H]C([H])([H])Cl;C19446;36014;Methyl chloride;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.07;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0.01;High Safety;0.04;High Safety;0.02;High Safety;0.02;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.33;Medium Safety;0.4;Low Safety;0.45;Low Safety;0.05;High Safety;0.56;Low Toxicity;0.01;High Safety;0.24;Medium Safety;0.02;High Safety;0.46;Low Safety;0.01;High Safety;0.46;Low Safety;0.99;High Toxicity;0.76;Medium Toxicity;0;High Safety
[H]C([H])(Cl)Cl;C02271;15767;Dichloromethane;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.08;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0.04;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.02;High Safety;0.71;Medium Toxicity;0.67;Medium Toxicity;0.03;High Safety;0.45;Low Safety;0;High Safety;0.25;Medium Safety;0.04;High Safety;0.37;Low Safety;0.02;High Safety;0.36;Low Safety;0.98;High Toxicity;0.94;High Toxicity;1;High Toxicity
[H]C([H])=O;C00067;16842;Formaldehyde;0.02;High Safety;0;High Safety;0;High Safety;0;High Safety;0.08;High Safety;0;High Safety;0.01;High Safety;0.01;High Safety;0.01;High Safety;0.05;High Safety;0;High Safety;0;High Safety;0.19;Medium Safety;0;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.63;Low Toxicity;0.21;Medium Safety;0.42;Low Safety;0.96;High Toxicity;0.29;Medium Safety;0.01;High Safety;0.75;Medium Toxicity;0.03;High Safety;0.26;Medium Safety;0;High Safety;0.39;Low Safety;0.97;High Toxicity;0.81;Medium Toxicity;0.17;Medium Safety
[H]C(=O)C(Cl)(Cl)Cl;C14866;48814;Chloral;0;High Safety;0.03;High Safety;0;High Safety;0.01;High Safety;0.06;High Safety;0.02;High Safety;0.02;High Safety;0.01;High Safety;0.23;Medium Safety;0.14;High Safety;0.01;High Safety;0.07;High Safety;0.02;High Safety;0.01;High Safety;1;High Toxicity;0.1;High Safety;0.5;Low Toxicity;0.53;Low Toxicity;0.91;High Toxicity;0.82;Medium Toxicity;0.03;High Safety;0;High Safety;0.01;High Safety;0.82;Medium Toxicity;0.09;High Safety;0.54;Low Toxicity;0.03;High Safety;0.34;Low Safety;0.99;High Toxicity;0.97;High Toxicity;0.19;Medium Safety
[H]C(=O)c1ccccc1C(O)=O;C03057;17605;2-Carboxybenzaldehyde;0.02;High Safety;0;High Safety;0.09;High Safety;0.02;High Safety;0.09;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0.05;High Safety;0.05;High Safety;0.01;High Safety;0.01;High Safety;0.02;High Safety;0.03;High Safety;0.41;Low Safety;0.1;High Safety;0.49;Low Safety;0.69;Medium Toxicity;0.41;Low Safety;0.1;High Safety;0.95;High Toxicity;0.06;High Safety;0;High Safety;0.54;Low Toxicity;0.01;High Safety;0.02;High Safety;0.24;Medium Safety;0.25;Medium Safety;1;High Toxicity;0.58;Low Toxicity;0.26;Medium Safety
[H]C(=O)N(C)C;C03134;17741;N.N-Dimethylformamide;0;High Safety;0;High Safety;0;High Safety;0.16;High Safety;0.04;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.1;High Safety;0.5;Low Toxicity;0.5;Low Toxicity;0.07;High Safety;0;High Safety;0.68;Medium Toxicity;0;High Safety;0.01;High Safety;0.73;Medium Toxicity;0.03;High Safety;0.4;Low Safety;0.09;High Safety;0.44;Low Safety;0.98;High Toxicity;0.97;High Toxicity;0.04;High Safety
[H]C(Br)(Br)Br;C14707;38682;Bromoform;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.08;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.14;High Safety;0;High Safety;0;High Safety;0;High Safety;0.05;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.7;Medium Toxicity;0.9;High Toxicity;0.83;Medium Toxicity;0.01;High Safety;0.6;Low Toxicity;0.02;High Safety;0.67;Medium Toxicity;0.12;High Safety;0.39;Low Safety;0.02;High Safety;0.29;Medium Safety;0.86;High Toxicity;0.49;Low Safety;0;High Safety
[H]C(C)=O;C00084;15343;Acetaldehyde;0;High Safety;0;High Safety;0;High Safety;1;High Toxicity;0.04;High Safety;0.01;High Safety;0.01;High Safety;0.05;High Safety;0.07;High Safety;0.08;High Safety;0.04;High Safety;0;High Safety;0.65;Low Toxicity;0;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.33;Medium Safety;0.75;Medium Toxicity;0.14;High Safety;0.97;High Toxicity;0.05;High Safety;0.01;High Safety;0.79;Medium Toxicity;0.03;High Safety;0.32;Medium Safety;0.06;High Safety;0.45;Low Safety;1;High Toxicity;0.88;High Toxicity;0.17;Medium Safety
[H]C(Cl)(Cl)Cl;C13827;35255;Chloroform;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.08;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.06;High Safety;0;High Safety;0;High Safety;0;High Safety;0.07;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.23;Medium Safety;0.95;High Toxicity;0.8;Medium Toxicity;0.03;High Safety;0;High Safety;0.01;High Safety;0.38;Low Safety;0.08;High Safety;0.48;Low Safety;0.02;High Safety;0.44;Low Safety;0.68;Medium Toxicity;0.59;Low Toxicity;0;High Safety
[H]C1(C)CO1;C15508;38685;1.2-Epoxypropane;0;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0.04;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.04;High Safety;0.14;High Safety;0.62;Low Toxicity;0.9;High Toxicity;0.06;High Safety;0.01;High Safety;0.5;Low Toxicity;0.02;High Safety;0.3;Medium Safety;0.24;Medium Safety;0.42;Low Safety;0.98;High Toxicity;0.96;High Toxicity;0.3;Medium Safety
[H]N([H])[H];C00014;16134;Ammonia;0.05;High Safety;0.13;High Safety;0;High Safety;0;High Safety;0.12;High Safety;0.02;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0.01;High Safety;0.02;High Safety;0.09;High Safety;0.15;High Safety;0.5;Low Toxicity;0.12;High Safety;0.39;Low Safety;1;High Toxicity;0.7;Medium Toxicity;0.37;Low Safety;0.01;High Safety;0.46;Low Safety;0.02;High Safety;0.29;Medium Safety;0.01;High Safety;0.63;Low Toxicity;0.89;High Toxicity;0.74;Medium Toxicity;0.17;Medium Safety
[Hg];C01319;16170;Hg;0.05;High Safety;0.13;High Safety;0.38;Low Safety;0;High Safety;0.1;High Safety;0.63;Low Toxicity;0.01;High Safety;0.11;High Safety;0.13;High Safety;0.08;High Safety;0;High Safety;0.18;Medium Safety;0;High Safety;0.59;Low Toxicity;0.16;High Safety;0.15;High Safety;0.5;Low Toxicity;0.17;Medium Safety;0.37;Low Safety;1;High Toxicity;0.5;Low Toxicity;0.07;High Safety;0.01;High Safety;0.43;Low Safety;0.02;High Safety;0.26;Medium Safety;0.01;High Safety;0.63;Low Toxicity;0.96;High Toxicity;0.49;Low Safety;0.08;High Safety
[Hg+]c1ccccc1;C01783;30787;Arylmercury;0.01;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.05;High Safety;0.01;High Safety;0.02;High Safety;0.04;High Safety;0.06;High Safety;0.41;Low Safety;0.01;High Safety;0.17;Medium Safety;0.19;Medium Safety;0.31;Medium Safety;0.31;Medium Safety;0.15;High Safety;0.5;Low Toxicity;0.23;Medium Safety;0.85;High Toxicity;1;High Toxicity;0.1;High Safety;0.44;Low Safety;0.01;High Safety;0.58;Low Toxicity;0.03;High Safety;0.24;Medium Safety;0.25;Medium Safety;0.41;Low Safety;1;High Toxicity;0.95;High Toxicity;0.25;Medium Safety
[Hg++];C00703;16793;Mercury(2+);0.05;High Safety;0.13;High Safety;0.38;Low Safety;0;High Safety;0.12;High Safety;0.61;Low Toxicity;0.8;Medium Toxicity;0.11;High Safety;0.11;High Safety;0.08;High Safety;0;High Safety;0.47;Low Safety;0;High Safety;0.59;Low Toxicity;0.16;High Safety;0.15;High Safety;0.5;Low Toxicity;0.17;Medium Safety;0.37;Low Safety;1;High Toxicity;0.5;Low Toxicity;0.07;High Safety;0.01;High Safety;0.43;Low Safety;0.02;High Safety;0.29;Medium Safety;0.01;High Safety;0.63;Low Toxicity;0.96;High Toxicity;0.49;Low Safety;0.3;Medium Safety
[Na+].[O-][As]=O;C11906;29678;Sodium arsenite;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.07;High Safety;0.01;High Safety;0.01;High Safety;0.02;High Safety;0.06;High Safety;0.13;High Safety;0.01;High Safety;0;High Safety;0.02;High Safety;0.02;High Safety;0.47;Low Safety;0.15;High Safety;0.5;Low Toxicity;0.37;Low Safety;0.41;Low Safety;0.07;High Safety;0.04;High Safety;0.14;High Safety;0.01;High Safety;0.61;Low Toxicity;0.02;High Safety;0.35;Low Safety;0;High Safety;0.42;Low Safety;0.98;High Toxicity;0.75;Medium Toxicity;0.39;Low Safety
[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O;C19300;82372;Tetranitromethane;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.06;High Safety;0.01;High Safety;0.01;High Safety;0.08;High Safety;0.03;High Safety;0.07;High Safety;0.03;High Safety;0;High Safety;0.14;High Safety;0.01;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.52;Low Toxicity;0.54;Low Toxicity;0.22;Medium Safety;0.06;High Safety;0.09;High Safety;0.01;High Safety;0.75;Medium Toxicity;0.02;High Safety;0.29;Medium Safety;0.01;High Safety;0.51;Low Toxicity;0.98;High Toxicity;0.57;Low Toxicity;0;High Safety
[O-][N+](=O)c1ccc2ccc3cccc4ccc1c2c34;C14421;34107;1-Nitropyrene;0;High Safety;0;High Safety;0.58;Low Toxicity;0;High Safety;0.19;Medium Safety;0.28;Medium Safety;0.04;High Safety;0.74;Medium Toxicity;0.32;Medium Safety;0.86;High Toxicity;0.04;High Safety;0.23;Medium Safety;0.8;Medium Toxicity;0.34;Low Safety;1;High Toxicity;0;High Safety;0.5;Low Toxicity;0.97;High Toxicity;1;High Toxicity;0.77;Medium Toxicity;0.01;High Safety;0.84;High Toxicity;0.57;Low Toxicity;0.94;High Toxicity;0.17;Medium Safety;0.47;Low Safety;0.75;Medium Toxicity;0.2;Medium Safety;0.98;High Toxicity;0.26;Medium Safety;0.31;Medium Safety
