ko;genesymbol;genename;cpd;compoundclass;referenceAG;compoundname;enzyme_activity
K00001;E1.1.1.1;alcohol dehydrogenase ;C14687;Aliphatic;PSL;2-Ethoxyethanol;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C06747;Sulfur-containing;PSL;Phenylmethanesulfonyl fluoride;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C00038;Metal;ATSDR;Zinc cation;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C13377;Chlorinated;ATSDR;Mercuric chloride;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C19302;Sulfur-containing;IARC2B;Thioacetamide;dehydrogenase
K00001;E1.1.1.1;alcohol dehydrogenase ;C00084;Aliphatic;IARC2B;Acetaldehyde;dehydrogenase
K00002;AKR1A1;alcohol dehydrogenase (NADP+) ;C07434;Nitrogen-containing;IARC2B;Phenobarbital;dehydrogenase
K00002;AKR1A1;alcohol dehydrogenase (NADP+) ;C00038;Metal;EPA;Zinc cation;dehydrogenase
K00002;AKR1A1;alcohol dehydrogenase (NADP+) ;C00038;Metal;ATSDR;Zinc cation;dehydrogenase
K00002;AKR1A1;alcohol dehydrogenase (NADP+) ;C08142;Inorganic;PSL;Sodium fluoride;dehydrogenase
K00002;AKR1A1;alcohol dehydrogenase (NADP+) ;C00084;Aliphatic;PSL;Acetaldehyde;dehydrogenase
K00002;AKR1A1;alcohol dehydrogenase (NADP+) ;C19249;Aliphatic;IARC2B;2,4-Hexadienal;dehydrogenase
K00002;AKR1A1;alcohol dehydrogenase (NADP+) ;C07443;Nitrogen-containing;IARC2B;Phenytoin;dehydrogenase
K00002;AKR1A1;alcohol dehydrogenase (NADP+) ;C00084;Aliphatic;IARC2B;Acetaldehyde;dehydrogenase
K00002;AKR1A1;alcohol dehydrogenase (NADP+) ;C00469;Aliphatic;IARC1;Ethanol;dehydrogenase
K00002;AKR1A1;alcohol dehydrogenase (NADP+) ;C07434;Aromatic;IARC2B;Phenobarbital;dehydrogenase
K00002;AKR1A1;alcohol dehydrogenase (NADP+) ;C00084;Aliphatic;IARC1;Acetaldehyde;dehydrogenase
K00002;AKR1A1;alcohol dehydrogenase (NADP+) ;C07443;Polyaromatic;IARC2B;Phenytoin;dehydrogenase
K00004;BDH;(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase ;C00038;Metal;ATSDR;Zinc cation;dehydrogenase
K00004;BDH;(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase ;C00038;Metal;EPA;Zinc cation;dehydrogenase
K00005;gldA;glycerol dehydrogenase ;C18676;Aliphatic;IARC2B;alpha-Chlorohydrin;dehydrogenase
K00005;gldA;glycerol dehydrogenase ;C18676;Chlorinated;IARC2B;alpha-Chlorohydrin;dehydrogenase
K00005;gldA;glycerol dehydrogenase ;C14399;Chlorinated;IARC2B;1,3-Dichloro-2-propanol;dehydrogenase
K00005;gldA;glycerol dehydrogenase ;C14440;Aliphatic;ATSDR;1,4-Dioxane;dehydrogenase
K00005;gldA;glycerol dehydrogenase ;C00038;Metal;EPA;Zinc cation;dehydrogenase
K00005;gldA;glycerol dehydrogenase ;C14399;Aliphatic;IARC2B;1,3-Dichloro-2-propanol;dehydrogenase
K00005;gldA;glycerol dehydrogenase ;C13377;Chlorinated;WFD;Mercuric chloride;dehydrogenase
K00005;gldA;glycerol dehydrogenase ;C13377;Chlorinated;ATSDR;Mercuric chloride;dehydrogenase
K00005;gldA;glycerol dehydrogenase ;C13377;Metal;ATSDR;Mercuric chloride;dehydrogenase
K00005;gldA;glycerol dehydrogenase ;C00038;Metal;ATSDR;Zinc cation;dehydrogenase
K00005;gldA;glycerol dehydrogenase ;C14440;Aliphatic;IARC2B;1,4-Dioxane;dehydrogenase
K00005;gldA;glycerol dehydrogenase ;C13377;Metal;WFD;Mercuric chloride;dehydrogenase
K00006;GPD1;glycerol-3-phosphate dehydrogenase (NAD+) ;C00038;Metal;ATSDR;Zinc cation;dehydrogenase
K00006;GPD1;glycerol-3-phosphate dehydrogenase (NAD+) ;C00038;Metal;EPA;Zinc cation;dehydrogenase
K00007;dalD;D-arabinitol 4-dehydrogenase ;C00038;Metal;ATSDR;Zinc cation;dehydrogenase
K00007;dalD;D-arabinitol 4-dehydrogenase ;C00038;Metal;EPA;Zinc cation;dehydrogenase
K00008;SORD;L-iditol 2-dehydrogenase ;C00038;Metal;ATSDR;Zinc cation;dehydrogenase
K00008;SORD;L-iditol 2-dehydrogenase ;C00038;Metal;EPA;Zinc cation;dehydrogenase
K00008;SORD;L-iditol 2-dehydrogenase ;C13377;Metal;ATSDR;Mercuric chloride;dehydrogenase
K00008;SORD;L-iditol 2-dehydrogenase ;C13377;Chlorinated;ATSDR;Mercuric chloride;dehydrogenase
K00008;SORD;L-iditol 2-dehydrogenase ;C13377;Chlorinated;WFD;Mercuric chloride;dehydrogenase
K00008;SORD;L-iditol 2-dehydrogenase ;C13377;Metal;WFD;Mercuric chloride;dehydrogenase
K00009;mtlD;mannitol-1-phosphate 5-dehydrogenase ;C00038;Metal;EPA;Zinc cation;dehydrogenase
K00009;mtlD;mannitol-1-phosphate 5-dehydrogenase ;C00038;Metal;ATSDR;Zinc cation;dehydrogenase
K00011;AKR1B;aldehyde reductase ;C07443;Nitrogen-containing;IARC2B;Phenytoin;reductase
K00011;AKR1B;aldehyde reductase ;C07675;Aromatic;IARC2A;Pioglitazone;reductase
K00011;AKR1B;aldehyde reductase ;C07443;Polyaromatic;IARC2B;Phenytoin;reductase
K00011;AKR1B;aldehyde reductase ;C07675;Nitrogen-containing;IARC2A;Pioglitazone;reductase
K00011;AKR1B;aldehyde reductase ;C07675;Sulfur-containing;IARC2A;Pioglitazone;reductase
K00019;BDH1;3-hydroxybutyrate dehydrogenase ;C07308;Metal;ATSDR;Cacodylate;dehydrogenase
K00019;BDH1;3-hydroxybutyrate dehydrogenase ;C07308;Inorganic;ATSDR;Cacodylate;dehydrogenase
K00019;BDH1;3-hydroxybutyrate dehydrogenase ;C07308;Metal;IARC2B;Cacodylate;dehydrogenase
K00019;BDH1;3-hydroxybutyrate dehydrogenase ;C07308;Inorganic;IARC2B;Cacodylate;dehydrogenase
K00024;mdh;malate dehydrogenase ;C06747;Aromatic;PSL;Phenylmethanesulfonyl fluoride;dehydrogenase
K00024;mdh;malate dehydrogenase ;C08142;Inorganic;PSL;Sodium fluoride;dehydrogenase
K00024;mdh;malate dehydrogenase ;C06747;Sulfur-containing;PSL;Phenylmethanesulfonyl fluoride;dehydrogenase
K00025;MDH1;malate dehydrogenase ;C06747;Aromatic;PSL;Phenylmethanesulfonyl fluoride;dehydrogenase
K00025;MDH1;malate dehydrogenase ;C06747;Sulfur-containing;PSL;Phenylmethanesulfonyl fluoride;dehydrogenase
K00025;MDH1;malate dehydrogenase ;C08142;Inorganic;PSL;Sodium fluoride;dehydrogenase
K00026;MDH2;malate dehydrogenase ;C06747;Aromatic;PSL;Phenylmethanesulfonyl fluoride;dehydrogenase
K00026;MDH2;malate dehydrogenase ;C06747;Sulfur-containing;PSL;Phenylmethanesulfonyl fluoride;dehydrogenase
K00026;MDH2;malate dehydrogenase ;C08142;Inorganic;PSL;Sodium fluoride;dehydrogenase
K00033;PGD;6-phosphogluconate dehydrogenase ;C19300;Inorganic;IARC2B;Tetranitromethane;dehydrogenase
K00033;PGD;6-phosphogluconate dehydrogenase ;C19300;Nitrogen-containing;IARC2B;Tetranitromethane;dehydrogenase
K00036;G6PD;glucose-6-phosphate 1-dehydrogenase ;C18428;Aromatic;WFD;Diuron;dehydrogenase
K00036;G6PD;glucose-6-phosphate 1-dehydrogenase ;C18428;Aromatic;ATSDR;Diuron;dehydrogenase
K00036;G6PD;glucose-6-phosphate 1-dehydrogenase ;C10984;Nitrogen-containing;EPC;Cypermethrin;dehydrogenase
K00036;G6PD;glucose-6-phosphate 1-dehydrogenase ;C18428;Nitrogen-containing;ATSDR;Diuron;dehydrogenase
K00036;G6PD;glucose-6-phosphate 1-dehydrogenase ;C10984;Polyaromatic;EPC;Cypermethrin;dehydrogenase
K00036;G6PD;glucose-6-phosphate 1-dehydrogenase ;C18428;Chlorinated;EPC;Diuron;dehydrogenase
K00036;G6PD;glucose-6-phosphate 1-dehydrogenase ;C18428;Chlorinated;WFD;Diuron;dehydrogenase
K00036;G6PD;glucose-6-phosphate 1-dehydrogenase ;C10984;Chlorinated;EPC;Cypermethrin;dehydrogenase
K00036;G6PD;glucose-6-phosphate 1-dehydrogenase ;C18428;Nitrogen-containing;EPC;Diuron;dehydrogenase
K00036;G6PD;glucose-6-phosphate 1-dehydrogenase ;C18428;Aromatic;EPC;Diuron;dehydrogenase
K00036;G6PD;glucose-6-phosphate 1-dehydrogenase ;C18428;Nitrogen-containing;WFD;Diuron;dehydrogenase
K00036;G6PD;glucose-6-phosphate 1-dehydrogenase ;C18428;Chlorinated;ATSDR;Diuron;dehydrogenase
K00037;AKR1C4;3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase ;C14286;Polyaromatic;IARC2B;Phenolphthalein;dehydrogenase
K00037;AKR1C4;3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase ;C11043;Chlorinated;ATSDR;Methoxychlor;dehydrogenase
K00037;AKR1C4;3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase ;C11043;Polyaromatic;ATSDR;Methoxychlor;dehydrogenase
K00037;AKR1C4;3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase ;C01792;Chlorinated;ATSDR;Chlordecone;dehydrogenase
K00037;AKR1C4;3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase ;C01792;Chlorinated;IARC2B;Chlordecone;dehydrogenase
K00048;fucO;lactaldehyde reductase ;C01380;Aliphatic;PSL;Ethylene glycol;reductase
K00055;E1.1.1.90;aryl-alcohol dehydrogenase ;C00556;Aromatic;PSL;Benzyl alcohol;dehydrogenase
K00055;E1.1.1.90;aryl-alcohol dehydrogenase ;C03485;Aromatic;PSL;Aromatic primary alcohol;dehydrogenase
K00064;E1.1.1.122;D-threo-aldose 1-dehydrogenase ;C14512;Aromatic;IARC2B;Benzofuran;dehydrogenase
K00069;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD) ;C07675;Sulfur-containing;IARC2A;Pioglitazone;dehydrogenase
K00069;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD) ;C07316;Sulfur-containing;IARC2B;Sulfasalazine;dehydrogenase
K00069;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD) ;C19300;Nitrogen-containing;IARC2B;Tetranitromethane;dehydrogenase
K00069;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD) ;C07675;Nitrogen-containing;IARC2A;Pioglitazone;dehydrogenase
K00069;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD) ;C07316;Polyaromatic;IARC2B;Sulfasalazine;dehydrogenase
K00069;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD) ;C07316;Nitrogen-containing;IARC2B;Sulfasalazine;dehydrogenase
K00069;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD) ;C07675;Aromatic;IARC2A;Pioglitazone;dehydrogenase
K00069;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD) ;C19300;Inorganic;IARC2B;Tetranitromethane;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C15233;Inorganic;WFD;Cadmium chloride;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C11043;Chlorinated;ATSDR;Methoxychlor;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C14227;Aromatic;EPA;Di-n-octyl phthalate;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C15233;Chlorinated;WFD;Cadmium chloride;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C14214;Aromatic;PSL;Dibutyl phthalate;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C14214;Aromatic;CONAMA;Dibutyl phthalate;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C15233;Metal;WFD;Cadmium chloride;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C15233;Metal;PSL;Cadmium chloride;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C14227;Aromatic;PSL;Di-n-octyl phthalate;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C14214;Aromatic;ATSDR;Dibutyl phthalate;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C14550;Aromatic;WFD;4-Nonylphenol;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C11043;Polyaromatic;ATSDR;Methoxychlor;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C15233;Metal;EPC;Cadmium chloride;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C14550;Aromatic;PSL;4-Nonylphenol;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C14550;Aromatic;EPC;4-Nonylphenol;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C15233;Inorganic;EPC;Cadmium chloride;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C15233;Chlorinated;PSL;Cadmium chloride;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C14214;Aromatic;EPA;Dibutyl phthalate;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C15233;Inorganic;PSL;Cadmium chloride;dehydrogenase
K00070;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ;C15233;Chlorinated;EPC;Cadmium chloride;dehydrogenase
K00078;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) ;C00090;Aromatic;PSL;Catechol;dehydrogenase
K00078;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) ;C19256;Aromatic;IARC2B;Merphalan;dehydrogenase
K00078;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) ;C19256;Nitrogen-containing;IARC2B;Merphalan;dehydrogenase
K00078;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) ;C03012;Polyaromatic;EPC;Naphthalene-1,2-diol;dehydrogenase
K00078;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) ;C00090;Aromatic;EPC;Catechol;dehydrogenase
K00078;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) ;C00090;Aromatic;ATSDR;Catechol;dehydrogenase
K00078;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) ;C16453;Nitrogen-containing;IARC1;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;dehydrogenase
K00078;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) ;C16453;Aliphatic;IARC1;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;dehydrogenase
K00078;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) ;C03012;Polyaromatic;PSL;Naphthalene-1,2-diol;dehydrogenase
K00078;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) ;C03012;Polyaromatic;ATSDR;Naphthalene-1,2-diol;dehydrogenase
K00078;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) ;C00090;Aromatic;IARC2B;Catechol;dehydrogenase
K00078;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) ;C19256;Chlorinated;IARC2B;Merphalan;dehydrogenase
K00078;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) ;C00090;Aromatic;WFD;Catechol;dehydrogenase
K00078;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) ;C03012;Polyaromatic;WFD;Naphthalene-1,2-diol;dehydrogenase
K00079;CBR1;carbonyl reductase 1 ;C07443;Nitrogen-containing;IARC2B;Phenytoin;reductase
K00079;CBR1;carbonyl reductase 1 ;C16453;Aliphatic;IARC1;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;reductase
K00079;CBR1;carbonyl reductase 1 ;C07443;Polyaromatic;IARC2B;Phenytoin;reductase
K00079;CBR1;carbonyl reductase 1 ;C11195;Polyaromatic;IARC2B;Mitoxantrone;reductase
K00079;CBR1;carbonyl reductase 1 ;C11195;Nitrogen-containing;IARC2B;Mitoxantrone;reductase
K00079;CBR1;carbonyl reductase 1 ;C16453;Nitrogen-containing;IARC1;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;reductase
K00081;CBR2;carbonyl reductase 2 ;C07443;Nitrogen-containing;IARC2B;Phenytoin;reductase
K00081;CBR2;carbonyl reductase 2 ;C16453;Aliphatic;IARC1;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;reductase
K00081;CBR2;carbonyl reductase 2 ;C11195;Polyaromatic;IARC2B;Mitoxantrone;reductase
K00081;CBR2;carbonyl reductase 2 ;C16453;Nitrogen-containing;IARC1;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;reductase
K00081;CBR2;carbonyl reductase 2 ;C11195;Nitrogen-containing;IARC2B;Mitoxantrone;reductase
K00081;CBR2;carbonyl reductase 2 ;C07443;Polyaromatic;IARC2B;Phenytoin;reductase
K00084;CBR3;carbonyl reductase 3 ;C07443;Nitrogen-containing;IARC2B;Phenytoin;reductase
K00084;CBR3;carbonyl reductase 3 ;C16453;Aliphatic;IARC1;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;reductase
K00084;CBR3;carbonyl reductase 3 ;C07443;Polyaromatic;IARC2B;Phenytoin;reductase
K00084;CBR3;carbonyl reductase 3 ;C11195;Nitrogen-containing;IARC2B;Mitoxantrone;reductase
K00084;CBR3;carbonyl reductase 3 ;C11195;Polyaromatic;IARC2B;Mitoxantrone;reductase
K00084;CBR3;carbonyl reductase 3 ;C16453;Nitrogen-containing;IARC1;4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone;reductase
K00089;AKR1C2;3alpha-hydroxysteroid 3-dehydrogenase ;C07308;Inorganic;IARC2B;Cacodylate;dehydrogenase
K00089;AKR1C2;3alpha-hydroxysteroid 3-dehydrogenase ;C07308;Metal;ATSDR;Cacodylate;dehydrogenase
K00089;AKR1C2;3alpha-hydroxysteroid 3-dehydrogenase ;C07620;Polyaromatic;IARC1;Diethylstilbestrol;dehydrogenase
K00089;AKR1C2;3alpha-hydroxysteroid 3-dehydrogenase ;C11043;Chlorinated;ATSDR;Methoxychlor;dehydrogenase
K00089;AKR1C2;3alpha-hydroxysteroid 3-dehydrogenase ;C07308;Metal;IARC2B;Cacodylate;dehydrogenase
K00089;AKR1C2;3alpha-hydroxysteroid 3-dehydrogenase ;C07308;Inorganic;ATSDR;Cacodylate;dehydrogenase
K00089;AKR1C2;3alpha-hydroxysteroid 3-dehydrogenase ;C11043;Polyaromatic;ATSDR;Methoxychlor;dehydrogenase
K00093;mdh;methanol dehydrogenase ;C00067;Aliphatic;PSL;Formaldehyde;dehydrogenase
K00093;mdh;methanol dehydrogenase ;C00067;Aliphatic;IARC1;Formaldehyde;dehydrogenase
K00093;mdh;methanol dehydrogenase ;C00067;Aliphatic;ATSDR;Formaldehyde;dehydrogenase
K00106;XDH;xanthine dehydrogenase/oxidase ;C19396;Halogenated;IARC2B;Dibromoacetonitrile;dehydrogenase
K00106;XDH;xanthine dehydrogenase/oxidase ;C19396;Nitrogen-containing;IARC2B;Dibromoacetonitrile;dehydrogenase
K00114;exaA;alcohol dehydrogenase (cytochrome c) ;C00469;Aliphatic;IARC1;Ethanol;dehydrogenase
K00114;exaA;alcohol dehydrogenase (cytochrome c) ;C00084;Aliphatic;PSL;Acetaldehyde;dehydrogenase
K00114;exaA;alcohol dehydrogenase (cytochrome c) ;C00084;Aliphatic;IARC2B;Acetaldehyde;dehydrogenase
K00114;exaA;alcohol dehydrogenase (cytochrome c) ;C13884;Metal;ATSDR;Strontium cation;dehydrogenase
K00114;exaA;alcohol dehydrogenase (cytochrome c) ;C00084;Aliphatic;IARC1;Acetaldehyde;dehydrogenase
K00119;E1.1.99.36;alcohol dehydrogenase (nicotinoprotein) ;C00469;Aliphatic;IARC1;Ethanol;dehydrogenase
K00119;E1.1.99.36;alcohol dehydrogenase (nicotinoprotein) ;C00084;Aliphatic;PSL;Acetaldehyde;dehydrogenase
K00119;E1.1.99.36;alcohol dehydrogenase (nicotinoprotein) ;C00084;Aliphatic;IARC2B;Acetaldehyde;dehydrogenase
K00119;E1.1.99.36;alcohol dehydrogenase (nicotinoprotein) ;C00084;Aliphatic;IARC1;Acetaldehyde;dehydrogenase
K00121;frmA;S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase ;C00084;Aliphatic;PSL;Acetaldehyde;dehydrogenase
K00121;frmA;S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase ;C00084;Aliphatic;IARC2B;Acetaldehyde;dehydrogenase
K00121;frmA;S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase ;C00469;Aliphatic;IARC1;Ethanol;dehydrogenase
K00121;frmA;S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase ;C06899;Chlorinated;IARC2A;Chloral hydrate;dehydrogenase
K00121;frmA;S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase ;C06899;Aliphatic;IARC2A;Chloral hydrate;dehydrogenase
K00121;frmA;S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase ;C00084;Aliphatic;IARC1;Acetaldehyde;dehydrogenase
K00128;ALDH;aldehyde dehydrogenase (NAD+) ;C11906;Metal;ATSDR;Sodium arsenite;dehydrogenase
K00128;ALDH;aldehyde dehydrogenase (NAD+) ;C13884;Metal;ATSDR;Strontium cation;dehydrogenase
K00128;ALDH;aldehyde dehydrogenase (NAD+) ;C00084;Aliphatic;IARC1;Acetaldehyde;dehydrogenase
K00128;ALDH;aldehyde dehydrogenase (NAD+) ;C11906;Inorganic;ATSDR;Sodium arsenite;dehydrogenase
K00128;ALDH;aldehyde dehydrogenase (NAD+) ;C00084;Aliphatic;IARC2B;Acetaldehyde;dehydrogenase
K00128;ALDH;aldehyde dehydrogenase (NAD+) ;C00084;Aliphatic;PSL;Acetaldehyde;dehydrogenase
K00129;ALDH3;aldehyde dehydrogenase (NAD(P)+) ;C06899;Aliphatic;IARC2A;Chloral hydrate;dehydrogenase
K00129;ALDH3;aldehyde dehydrogenase (NAD(P)+) ;C06899;Chlorinated;IARC2A;Chloral hydrate;dehydrogenase
K00129;ALDH3;aldehyde dehydrogenase (NAD(P)+) ;C11150;Aliphatic;IARC2B;Trichloroacetate;dehydrogenase
K00129;ALDH3;aldehyde dehydrogenase (NAD(P)+) ;C00084;Aliphatic;PSL;Acetaldehyde;dehydrogenase
K00129;ALDH3;aldehyde dehydrogenase (NAD(P)+) ;C11150;Chlorinated;IARC2B;Trichloroacetate;dehydrogenase
K00129;ALDH3;aldehyde dehydrogenase (NAD(P)+) ;C00084;Aliphatic;IARC2B;Acetaldehyde;dehydrogenase
K00129;ALDH3;aldehyde dehydrogenase (NAD(P)+) ;C00084;Aliphatic;IARC1;Acetaldehyde;dehydrogenase
K00130;betB;betaine-aldehyde dehydrogenase ;C07115;Chlorinated;IARC2A;Nitrogen mustard;dehydrogenase
K00130;betB;betaine-aldehyde dehydrogenase ;C07115;Nitrogen-containing;IARC2A;Nitrogen mustard;dehydrogenase
K00132;E1.2.1.10;acetaldehyde dehydrogenase (acetylating) ;C00084;Aliphatic;PSL;Acetaldehyde;dehydrogenase
K00132;E1.2.1.10;acetaldehyde dehydrogenase (acetylating) ;C00084;Aliphatic;IARC2B;Acetaldehyde;dehydrogenase
K00132;E1.2.1.10;acetaldehyde dehydrogenase (acetylating) ;C00084;Aliphatic;IARC1;Acetaldehyde;dehydrogenase
K00133;asd;aspartate-semialdehyde dehydrogenase ;C07308;Inorganic;IARC2B;Cacodylate;dehydrogenase
K00133;asd;aspartate-semialdehyde dehydrogenase ;C07308;Metal;IARC2B;Cacodylate;dehydrogenase
K00133;asd;aspartate-semialdehyde dehydrogenase ;C07308;Inorganic;ATSDR;Cacodylate;dehydrogenase
