sample;ko;genesymbol;genename;cpd;compoundclass;referenceAG;compoundname;enzyme_activity
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14322;Organophosphorus;ATSDR;Chlorpyrifos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Chlorinated;EPA;Trichloroethene;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14322;Organophosphorus;WFD;Chlorpyrifos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14430;Organophosphorus;EPC;Dichlorvos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11090;Inorganic;ATSDR;Endosulfan;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14430;Chlorinated;IARC2B;Dichlorvos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11088;Organometallic;IARC2A;1,2-Dibromoethane;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Chlorinated;EPC;Trichloroethene;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Aliphatic;PSL;Trichloroethene;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Aliphatic;IARC1;Trichloroethene;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11278;Aromatic;IARC1;Aflatoxin B1exo-8,9-epoxide-GSH;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14449;Chlorinated;IARC2A;Epichlorohydrin;transferase
Acinetobacter Baumanii - acb;K00567;ogt;methylated-DNA-[protein]-cysteine S-methyltransferase ;C18447;Halogenated;EPA;Methyl bromide;methyltransferase
Acinetobacter Baumanii - acb;K00567;ogt;methylated-DNA-[protein]-cysteine S-methyltransferase ;C18447;Aliphatic;EPA;Methyl bromide;methyltransferase
Acinetobacter Baumanii - acb;K00528;fpr;ferredoxin/flavodoxin---NADP+ reductase ;C10312;Aromatic;IARC2B;Danthron;reductase
Acinetobacter Baumanii - acb;K00266;gltD;glutamate synthase (NADPH) small chain ;C00014;Nitrogen-containing;PSL;Ammonia;synthase
Acinetobacter Baumanii - acb;K00266;gltD;glutamate synthase (NADPH) small chain ;C00014;Nitrogen-containing;ATSDR;Ammonia;synthase
Acinetobacter Baumanii - acb;K00266;gltD;glutamate synthase (NADPH) small chain ;C11906;Inorganic;ATSDR;Sodium arsenite;synthase
Acinetobacter Baumanii - acb;K00266;gltD;glutamate synthase (NADPH) small chain ;C11906;Metal;ATSDR;Sodium arsenite;synthase
Acinetobacter Baumanii - acb;K00457;HPD;4-hydroxyphenylpyruvate dioxygenase ;C14449;Aliphatic;IARC2A;Epichlorohydrin;dioxygenase
Acinetobacter Baumanii - acb;K00457;HPD;4-hydroxyphenylpyruvate dioxygenase ;C14449;Chlorinated;IARC2A;Epichlorohydrin;dioxygenase
Acinetobacter Baumanii - acb;K00255;ACADL;long-chain-acyl-CoA dehydrogenase ;C11146;Chlorinated;EPC;Methylmercury chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00255;ACADL;long-chain-acyl-CoA dehydrogenase ;C11146;Chlorinated;WFD;Methylmercury chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00255;ACADL;long-chain-acyl-CoA dehydrogenase ;C11146;Chlorinated;IARC2B;Methylmercury chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00255;ACADL;long-chain-acyl-CoA dehydrogenase ;C11146;Organometallic;WFD;Methylmercury chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00255;ACADL;long-chain-acyl-CoA dehydrogenase ;C11146;Organometallic;IARC2B;Methylmercury chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00255;ACADL;long-chain-acyl-CoA dehydrogenase ;C11146;Organometallic;EPC;Methylmercury chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00372;nasC;assimilatory nitrate reductase catalytic subunit ;C00088;Nitrogen-containing;ATSDR;Nitrite;reductase
Acinetobacter Baumanii - acb;K00372;nasC;assimilatory nitrate reductase catalytic subunit ;C00244;Nitrogen-containing;ATSDR;Nitrate;reductase
Acinetobacter Baumanii - acb;K00372;nasC;assimilatory nitrate reductase catalytic subunit ;C00088;Inorganic;ATSDR;Nitrite;reductase
Acinetobacter Baumanii - acb;K00372;nasC;assimilatory nitrate reductase catalytic subunit ;C00244;Inorganic;ATSDR;Nitrate;reductase
Acinetobacter Baumanii - acb;K00355;NQO1;NAD(P)H dehydrogenase (quinone) ;C10312;Aromatic;IARC2B;Danthron;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C19302;Nitrogen-containing;IARC2B;Thioacetamide;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06696;Metal;ATSDR;Lead;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C11344;Aliphatic;PSL;Methyl tert-butyl ether;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06696;Metal;EPC;Lead;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06899;Aliphatic;IARC2A;Chloral hydrate;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C19302;Aliphatic;IARC2B;Thioacetamide;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06899;Chlorinated;IARC2A;Chloral hydrate;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C14440;Aliphatic;ATSDR;1,4-Dioxane;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06696;Metal;IARC2A;Lead;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C00084;Aliphatic;IARC1;Acetaldehyde;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C13377;Metal;ATSDR;Mercuric chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C00084;Aliphatic;PSL;Acetaldehyde;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06747;Aromatic;PSL;Phenylmethanesulfonyl fluoride;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C00038;Metal;EPA;Zinc cation;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C00469;Aliphatic;IARC1;Ethanol;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C19263;Aliphatic;IARC2B;Methyl isobutyl ketone;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06696;Metal;EPA;Lead;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06696;Metal;WFD;Lead;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C13377;Chlorinated;WFD;Mercuric chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C14440;Aliphatic;IARC2B;1,4-Dioxane;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C13377;Metal;WFD;Mercuric chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C14687;Aliphatic;PSL;2-Ethoxyethanol;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06747;Sulfur-containing;PSL;Phenylmethanesulfonyl fluoride;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C00038;Metal;ATSDR;Zinc cation;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C13377;Chlorinated;ATSDR;Mercuric chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C19302;Sulfur-containing;IARC2B;Thioacetamide;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C00084;Aliphatic;IARC2B;Acetaldehyde;dehydrogenase
Acinetobacter Baumanii - acb;K00278;nadB;L-aspartate oxidase ;C00014;Nitrogen-containing;ATSDR;Ammonia;oxidase
Acinetobacter Baumanii - acb;K00278;nadB;L-aspartate oxidase ;C00014;Nitrogen-containing;PSL;Ammonia;oxidase
Acinetobacter Baumanii - acb;K00278;nadB;L-aspartate oxidase ;C19300;Inorganic;IARC2B;Tetranitromethane;oxidase
Acinetobacter Baumanii - acb;K00278;nadB;L-aspartate oxidase ;C19300;Nitrogen-containing;IARC2B;Tetranitromethane;oxidase
Acinetobacter Baumanii - acb;K00943;tmk;dTMP kinase ;C07210;Nitrogen-containing;IARC2B;Zidovudine;kinase
Acinetobacter Baumanii - acb;K00134;GAPDH;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) ;C18676;Aliphatic;IARC2B;alpha-Chlorohydrin;dehydrogenase
Acinetobacter Baumanii - acb;K00134;GAPDH;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) ;C18676;Chlorinated;IARC2B;alpha-Chlorohydrin;dehydrogenase
Acinetobacter Baumanii - acb;K00285;dadA;D-amino-acid dehydrogenase ;C00014;Nitrogen-containing;ATSDR;Ammonia;dehydrogenase
Acinetobacter Baumanii - acb;K00285;dadA;D-amino-acid dehydrogenase ;C00014;Nitrogen-containing;PSL;Ammonia;dehydrogenase
Acinetobacter Baumanii - acb;K00927;PGK;phosphoglycerate kinase ;C07316;Sulfur-containing;IARC2B;Sulfasalazine;kinase
Acinetobacter Baumanii - acb;K00927;PGK;phosphoglycerate kinase ;C07316;Polyaromatic;IARC2B;Sulfasalazine;kinase
Acinetobacter Baumanii - acb;K00927;PGK;phosphoglycerate kinase ;C07316;Nitrogen-containing;IARC2B;Sulfasalazine;kinase
Acinetobacter Baumanii - acb;K00927;PGK;phosphoglycerate kinase ;C07207;Nitrogen-containing;IARC2B;Zalcitabine;kinase
Acinetobacter Baumanii - acb;K00262;E1.4.1.4;glutamate dehydrogenase (NADP+) ;C00014;Nitrogen-containing;PSL;Ammonia;dehydrogenase
Acinetobacter Baumanii - acb;K00262;E1.4.1.4;glutamate dehydrogenase (NADP+) ;C00014;Nitrogen-containing;ATSDR;Ammonia;dehydrogenase
Acinetobacter Baumanii - acb;K00130;betB;betaine-aldehyde dehydrogenase ;C07115;Chlorinated;IARC2A;Nitrogen mustard;dehydrogenase
Acinetobacter Baumanii - acb;K00130;betB;betaine-aldehyde dehydrogenase ;C07115;Nitrogen-containing;IARC2A;Nitrogen mustard;dehydrogenase
Acinetobacter Baumanii - acb;K00681;ggt;gamma-glutamyltranspeptidase / glutathione hydrolase ;C02227;Polyaromatic;IARC1;2-Naphthylamine;glutamyltranspeptidase
Acinetobacter Baumanii - acb;K00681;ggt;gamma-glutamyltranspeptidase / glutathione hydrolase ;C02227;Nitrogen-containing;IARC1;2-Naphthylamine;glutamyltranspeptidase
Acinetobacter Baumanii - acb;K00384;trxB;thioredoxin reductase (NADPH) ;C07561;Chlorinated;IARC2B;Carbon tetrachloride;reductase
Acinetobacter Baumanii - acb;K00384;trxB;thioredoxin reductase (NADPH) ;C07561;Chlorinated;EPC;Carbon tetrachloride;reductase
Acinetobacter Baumanii - acb;K00384;trxB;thioredoxin reductase (NADPH) ;C07561;Chlorinated;CONAMA;Carbon tetrachloride;reductase
Acinetobacter Baumanii - acb;K00384;trxB;thioredoxin reductase (NADPH) ;C07561;Chlorinated;EPA;Carbon tetrachloride;reductase
Acinetobacter Baumanii - acb;K00384;trxB;thioredoxin reductase (NADPH) ;C19302;Nitrogen-containing;IARC2B;Thioacetamide;reductase
Acinetobacter Baumanii - acb;K00384;trxB;thioredoxin reductase (NADPH) ;C07561;Chlorinated;ATSDR;Carbon tetrachloride;reductase
Acinetobacter Baumanii - acb;K00384;trxB;thioredoxin reductase (NADPH) ;C19302;Aliphatic;IARC2B;Thioacetamide;reductase
Acinetobacter Baumanii - acb;K00384;trxB;thioredoxin reductase (NADPH) ;C10312;Aromatic;IARC2B;Danthron;reductase
Acinetobacter Baumanii - acb;K00384;trxB;thioredoxin reductase (NADPH) ;C19302;Sulfur-containing;IARC2B;Thioacetamide;reductase
Acinetobacter Baumanii - acb;K00496;alkB1_2;alkane 1-monooxygenase ;C19275;Nitrogen-containing;IARC2B;Nitromethane;monooxygenase
Acinetobacter Baumanii - acb;K00496;alkB1_2;alkane 1-monooxygenase ;C11344;Aliphatic;PSL;Methyl tert-butyl ether;monooxygenase
Acinetobacter Baumanii - acb;K00496;alkB1_2;alkane 1-monooxygenase ;C19275;Inorganic;IARC2B;Nitromethane;monooxygenase
Acinetobacter Baumanii - acb;K00249;ACADM;acyl-CoA dehydrogenase ;C11146;Organometallic;WFD;Methylmercury chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00249;ACADM;acyl-CoA dehydrogenase ;C11146;Chlorinated;EPC;Methylmercury chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00249;ACADM;acyl-CoA dehydrogenase ;C11146;Chlorinated;IARC2B;Methylmercury chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00249;ACADM;acyl-CoA dehydrogenase ;C11146;Chlorinated;WFD;Methylmercury chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00249;ACADM;acyl-CoA dehydrogenase ;C11146;Organometallic;EPC;Methylmercury chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00249;ACADM;acyl-CoA dehydrogenase ;C11146;Organometallic;IARC2B;Methylmercury chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00448;pcaG;protocatechuate 3,4-dioxygenase, alpha subunit ;C00230;Aromatic;ATSDR;3,4-Dihydroxybenzoate;dioxygenase
Acinetobacter Baumanii - acb;K00448;pcaG;protocatechuate 3,4-dioxygenase, alpha subunit ;C01163;Aliphatic;ATSDR;3-Carboxy-cis,cis-muconate;dioxygenase
Acinetobacter Baumanii - acb;K00448;pcaG;protocatechuate 3,4-dioxygenase, alpha subunit ;C01163;Aliphatic;WFD;3-Carboxy-cis,cis-muconate;dioxygenase
Acinetobacter Baumanii - acb;K00448;pcaG;protocatechuate 3,4-dioxygenase, alpha subunit ;C00230;Aromatic;WFD;3,4-Dihydroxybenzoate;dioxygenase
Acinetobacter Baumanii - acb;K00448;pcaG;protocatechuate 3,4-dioxygenase, alpha subunit ;C01163;Aliphatic;EPC;3-Carboxy-cis,cis-muconate;dioxygenase
Acinetobacter Baumanii - acb;K00448;pcaG;protocatechuate 3,4-dioxygenase, alpha subunit ;C00230;Aromatic;EPC;3,4-Dihydroxybenzoate;dioxygenase
Acinetobacter Baumanii - acb;K00448;pcaG;protocatechuate 3,4-dioxygenase, alpha subunit ;C00230;Aromatic;PSL;3,4-Dihydroxybenzoate;dioxygenase
Acinetobacter Baumanii - acb;K00448;pcaG;protocatechuate 3,4-dioxygenase, alpha subunit ;C01163;Aliphatic;PSL;3-Carboxy-cis,cis-muconate;dioxygenase
Acinetobacter Baumanii - acb;K00449;pcaH;protocatechuate 3,4-dioxygenase, beta subunit ;C01163;Aliphatic;PSL;3-Carboxy-cis,cis-muconate;dioxygenase
Acinetobacter Baumanii - acb;K00449;pcaH;protocatechuate 3,4-dioxygenase, beta subunit ;C00230;Aromatic;EPC;3,4-Dihydroxybenzoate;dioxygenase
Acinetobacter Baumanii - acb;K00449;pcaH;protocatechuate 3,4-dioxygenase, beta subunit ;C01163;Aliphatic;EPC;3-Carboxy-cis,cis-muconate;dioxygenase
Acinetobacter Baumanii - acb;K00449;pcaH;protocatechuate 3,4-dioxygenase, beta subunit ;C00230;Aromatic;PSL;3,4-Dihydroxybenzoate;dioxygenase
Acinetobacter Baumanii - acb;K00449;pcaH;protocatechuate 3,4-dioxygenase, beta subunit ;C01163;Aliphatic;WFD;3-Carboxy-cis,cis-muconate;dioxygenase
Acinetobacter Baumanii - acb;K00449;pcaH;protocatechuate 3,4-dioxygenase, beta subunit ;C01163;Aliphatic;ATSDR;3-Carboxy-cis,cis-muconate;dioxygenase
Acinetobacter Baumanii - acb;K00449;pcaH;protocatechuate 3,4-dioxygenase, beta subunit ;C00230;Aromatic;ATSDR;3,4-Dihydroxybenzoate;dioxygenase
Acinetobacter Baumanii - acb;K00449;pcaH;protocatechuate 3,4-dioxygenase, beta subunit ;C00230;Aromatic;WFD;3,4-Dihydroxybenzoate;dioxygenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C19302;Nitrogen-containing;IARC2B;Thioacetamide;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06696;Metal;ATSDR;Lead;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C11344;Aliphatic;PSL;Methyl tert-butyl ether;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06696;Metal;EPC;Lead;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06899;Aliphatic;IARC2A;Chloral hydrate;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C19302;Aliphatic;IARC2B;Thioacetamide;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06899;Chlorinated;IARC2A;Chloral hydrate;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C14440;Aliphatic;ATSDR;1,4-Dioxane;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06696;Metal;IARC2A;Lead;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C00084;Aliphatic;IARC1;Acetaldehyde;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C13377;Metal;ATSDR;Mercuric chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C00084;Aliphatic;PSL;Acetaldehyde;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06747;Aromatic;PSL;Phenylmethanesulfonyl fluoride;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C00038;Metal;EPA;Zinc cation;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C00469;Aliphatic;IARC1;Ethanol;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C19263;Aliphatic;IARC2B;Methyl isobutyl ketone;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06696;Metal;EPA;Lead;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06696;Metal;WFD;Lead;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C13377;Chlorinated;WFD;Mercuric chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C14440;Aliphatic;IARC2B;1,4-Dioxane;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C13377;Metal;WFD;Mercuric chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C14687;Aliphatic;PSL;2-Ethoxyethanol;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C06747;Sulfur-containing;PSL;Phenylmethanesulfonyl fluoride;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C00038;Metal;ATSDR;Zinc cation;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C13377;Chlorinated;ATSDR;Mercuric chloride;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C19302;Sulfur-containing;IARC2B;Thioacetamide;dehydrogenase
Acinetobacter Baumanii - acb;K00001;E1.1.1.1;alcohol dehydrogenase ;C00084;Aliphatic;IARC2B;Acetaldehyde;dehydrogenase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C10928;Chlorinated;WFD;Alachlor;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14322;Chlorinated;WFD;Chlorpyrifos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Chlorinated;CONAMA;Trichloroethene;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C10928;Chlorinated;EPC;Alachlor;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14322;Organophosphorus;EPC;Chlorpyrifos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14322;Chlorinated;ATSDR;Chlorpyrifos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11090;Chlorinated;WFD;Endosulfan;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C10984;Polyaromatic;EPC;Cypermethrin;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11278;Nitrogen-containing;IARC1;Aflatoxin B1exo-8,9-epoxide-GSH;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Aliphatic;EPA;Trichloroethene;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11090;Inorganic;WFD;Endosulfan;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14449;Aliphatic;IARC2A;Epichlorohydrin;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C11090;Chlorinated;ATSDR;Endosulfan;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Chlorinated;ATSDR;Trichloroethene;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C14430;Chlorinated;ATSDR;Dichlorvos;transferase
Acinetobacter Baumanii - acb;K00799;GST;glutathione S-transferase ;C06790;Aliphatic;EPC;Trichloroethene;transferase
